List of supplying markets for a product imported by China ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on General Customs Administration of China statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2017-M10,Imported value in 2017-M11,Imported value in 2017-M12,Imported value in 2018-M01,Imported value in 2018-M02,Imported value in 2018-M03,Imported value in 2018-M04,Imported value in 2018-M05,Imported value in 2018-M06,Imported value in 2018-M07,Imported value in 2018-M08,Imported value in 2018-M09
World,150652973,177094219,177205712,180403272,137835782,179084492,172713320,188156730,174792707,186967062,190594687,195216329
"Korea, Republic of",15347643,17809939,17234490,16825125,13452196,16970575,16744469,18091020,16835411,18147880,18455568,20581492
"Taipei, Chinese",13998116,16202417,15067002,14528427,10441508,15192613,14602016,15382232,14593768,15824907,15941481,16874267
Japan,13678171,15421635,15839281,13895862,11050414,16334253,15381860,15687983,14727687,16701619,15786378,16243725
China,11680520,13040348,13591409,12579258,8780457,11527865,11317403,13241188,11843111,13802989,13861481,14092028
United States of America,11121045,14285320,16211281,15729606,10809612,15343953,14075249,14783139,13656931,13340727,13304114,12681756
Germany,8074316,8818741,9150896,9088208,6877136,9225392,8840466,9406400,7967768,9917515,9498729,9968559
Australia,8000070,8364230,7569177,9173638,7490512,8861854,8241434,9274523,9063787,9785778,9040174,8761315
Brazil,3931361,4457905,4539242,4681915,4565083,4838569,5718803,8131355,6739712,6392959,7172568,7864519
Viet Nam,4974159,6259361,6622255,6148011,4238658,3862917,4181915,4276784,4153293,5015590,6181920,7505643
Malaysia,4227092,4910586,5152887,5122636,3792659,5284363,4953743,5595377,5416391,5776218,5259963,6255112
Russian Federation,3145450,3929289,4097463,4417167,3897373,4482479,4559871,5074112,4223362,4728908,4913301,5617998
Thailand,3459647,3766919,3753289,3815503,2656935,3992216,3653766,3964427,3769681,3962298,3994436,4211112
Saudi Arabia,2858243,3018008,3317788,3321478,3240847,3579162,3204769,4105135,3585378,3161074,3914058,3573371
Switzerland,2791644,3224279,3088444,3274143,4541993,4189340,3182161,3354853,4649203,2019147,3447001,3220918
France,2129932,2491442,2668903,2497764,1445343,2397640,2966998,2497166,2388517,2236851,3148676,3149608
Indonesia,2631975,3094870,2866148,3107682,2525628,3172601,2898325,2755547,2962963,2933627,3003132,3050584
Canada,1522921,1838676,1880279,2319724,1547578,2127173,2164653,2714423,2579781,2698476,2695669,2758106
Singapore,2955486,3547061,3139595,3253927,2277847,2691949,3133920,3083391,2671745,2993528,2783659,2727346
Chile,1596194,2245687,2404394,2782947,2132220,2000805,1933641,2396094,2339328,2314156,2243510,2306813
South Africa,1976000,2304660,2183469,2454196,1382109,2473698,2223183,2637678,2290278,2513218,2821087,2142021
Philippines,1675741,1796310,1792261,1683308,1329866,1795896,1526293,1723720,1729818,1928533,1948252,2057317
Angola,1465308,1700647,1535641,2398749,1949813,2112030,2117984,2172599,1733587,2139604,2208546,1980768
Iraq,983760,1683311,837605,1992240,1014249,1707814,1585868,1714251,1833181,1835777,2095191,1885807
Italy,1454333,2059627,1878632,1875103,1305912,1822111,1730135,1958737,1705947,1964268,2043381,1856512
United Arab Emirates,974448,1114668,1160478,1214873,969106,1229620,1029371,1315446,1027738,1435007,1345937,1852270
United Kingdom,1632693,2179725,2154266,2359464,1463164,1772627,1892134,1898500,1549245,2365573,2410892,1799215
Oman,614390,1235322,1296556,1094476,1663437,1036360,1686937,1368835,1665712,1685671,1688891,1796658
"Iran, Islamic Republic of",1572127,1521811,1576773,2102517,1411091,2146489,1887981,2133342,1572144,2285525,2289920,1597048
Peru,954336,1153982,1146265,1351370,1132987,1373766,1123283,1195884,1460323,1597514,1186420,1577421
Kuwait,811095,1079610,916023,944413,937117,1344561,1369217,958963,1534102,1492713,1601734,1471253
India,1237450,1519655,1648537,1645412,1241721,1696599,1612944,1639852,1644860,1461592,1548660,1430236
Mexico,983067,1210302,1056190,1228311,846170,1047289,1064409,1088938,1059505,1215879,1288389,1325803
Netherlands,764960,958628,1072255,1317637,877955,1150095,834601,1054412,1060997,863503,974261,1212747
Ireland,558399,694763,607950,1073810,507220,803121,826736,918460,842721,923942,933710,1051112
Qatar,501771,688404,787805,914049,644699,804868,515744,895250,555930,580202,725145,870296
New Zealand,671513,818575,805393,1412687,697906,873038,791505,1085249,871169,983900,1005924,792199
Kazakhstan,737737,637017,784515,659252,473450,615757,493460,663940,849673,663539,744772,788891
Spain,515434,921487,776087,783534,616908,793921,771399,722819,651740,721701,824740,728025
Turkmenistan,482601,462877,538943,543256,690020,679154,710407,661885,642843,656711,702767,727237
Austria,470809,524048,621219,619188,403167,570230,559451,661346,567455,606682,609571,657919
Sweden,641695,780650,668982,764905,582296,1027092,855493,809108,775524,786997,656537,647131
"Hong Kong, China",542882,812479,632487,615827,280868,724951,577898,753237,750364,599261,659835,628796
Mongolia,430435,449638,470903,383495,340272,495068,575407,698907,607664,506317,499057,611679
"Congo, Democratic Republic of the",291232,340899,352817,473016,334567,507796,471373,574263,573884,544367,489120,600629
Belgium,564987,722563,769338,669358,366666,641696,661687,671096,538298,583849,549499,563507
Congo,303062,528380,359886,557856,247550,668892,535623,647571,576175,579164,585488,552174
Colombia,264914,499079,483960,469778,428396,413511,502996,355542,632181,422130,395147,517840
Zambia,281700,293183,263531,271080,305516,417897,426719,351064,361775,340325,340717,430965
Finland,340115,366232,387455,438138,330491,404818,408796,447093,406237,439912,359191,428770
Slovakia,236364,343521,170684,192182,125624,274620,392792,524918,157709,1077551,613419,403479
"Venezuela, Bolivarian Republic of",342770,533653,777872,733388,425269,730489,644361,821034,410958,828023,833817,401383
Denmark,366784,375444,379879,346448,229977,411499,361286,487202,314487,352063,383014,391899
Czech Republic,311437,350494,372554,412613,288743,403852,370127,400259,358199,368867,370713,381757
T?rkiye,310630,379604,300112,333423,261433,327692,291217,313600,301380,349982,368754,360737
Argentina,479628,489759,503221,275529,125759,167763,324648,237574,218600,400876,502562,357065
Poland,311932,305184,315932,301645,270183,291215,261598,329022,271783,312696,293020,356019
Hungary,384371,379665,355692,390291,294516,418829,350503,424171,319692,493303,453191,325233
"Libya, State of",0,248764,110518,253362,75490,496324,420045,357099,408482,252118,298973,325136
Israel,373757,370524,421208,538962,329944,519339,435381,526565,416832,448978,315541,276940
Myanmar,274793,422825,633401,516865,386476,446357,459705,459680,388925,304309,313097,262121
Ukraine,133641,200070,229036,252832,107668,118476,215353,270181,319571,197593,292712,246025
Papua New Guinea,135070,274520,268512,209974,182015,145814,104521,305242,224731,340507,246932,234822
Uzbekistan,170578,197385,152180,128723,90311,94939,167082,293088,208382,208476,227467,228884
Portugal,164745,237841,198724,200276,142483,187650,205154,183724,155915,219100,210455,223629
Norway,246440,225216,373847,368430,198858,238314,331296,222938,362884,288257,325107,218829
Uruguay,210418,325916,222800,205308,163306,180451,179205,202922,204698,299876,246659,214338
Romania,134298,159302,193081,176607,140717,186433,176850,191262,177757,188736,203797,210971
Gabon,248513,121342,171173,182713,399918,277277,195121,220800,105597,226012,241248,196940
South Sudan,175977,55541,142330,216753,108688,118803,181082,85164,44517,81270,196509,189784
Pakistan,165510,202450,189216,197019,122905,241057,164609,209903,171489,215916,168639,177967
Yemen,1269,119454,2057,907,977,71462,2354,144615,1119,26529,59099,157312
Guinea,92072,155630,176786,202293,196793,210263,168688,179431,186872,172911,203656,154479
Lao People's Democratic Republic,90143,84844,286503,156269,154730,201237,160906,136339,189393,155828,145553,153875
Algeria,164826,52131,49891,14613,103836,13697,110090,87139,132062,62001,225495,151582
Cambodia,68403,79767,80476,86972,75134,94159,79582,101526,112767,139357,136105,151191
Ecuador,139386,52038,91153,174611,89323,124448,130134,133423,177260,131128,184308,149263
Cameroon,64896,90638,20937,23790,89221,80090,28163,111011,127058,52930,50310,129459
New Caledonia,40545,81940,67223,85351,77654,91074,105594,80563,137365,55380,103629,129401
Equatorial Guinea,75641,234288,137199,190027,167839,236451,237946,171701,65437,167882,162949,125532
Ghana,207790,151331,155371,124879,251784,171394,227167,327367,95712,48875,105822,109540
Bulgaria,63019,99255,80475,118800,83361,97453,102037,73208,102429,80317,98177,101165
Egypt,102674,165957,118686,143022,173728,130614,151091,131473,82875,224197,184391,93867
Bangladesh,55336,64757,70406,79607,63894,87656,72167,79767,78145,85440,97449,90069
Sudan,23211,42803,20325,45246,69297,116454,27345,22279,58658,61190,35585,68883
Nigeria,121962,146977,174032,223951,102120,159147,87808,126388,124832,141956,125083,68444
Morocco,46349,58131,45528,47853,81206,82427,54052,72086,59685,47349,56818,64217
Costa Rica,69984,79040,65032,78546,49139,80136,69193,56834,71907,76645,85910,62534
Greece,35550,47807,38336,45394,31514,50439,29967,54341,42434,48017,54982,55895
"Tanzania, United Republic of",21752,35209,25704,34262,12442,20527,11611,28396,33828,26411,40727,54193
Namibia,48970,61653,33188,21958,2130,20326,54365,50817,5576,33696,2601,53303
Mauritania,45000,48297,71225,51796,77818,69058,64803,120091,54036,85446,76234,50900
Slovenia,43154,54283,48404,51414,40754,46706,47393,60178,45179,62455,55833,50613
Cuba,21135,16544,25212,24677,9349,18454,68586,21199,77196,61967,43866,47350
Armenia,45344,4786,51116,11799,20930,30848,8507,8902,29643,16645,46653,42804
Solomon Islands,45799,70633,58642,59449,42321,68618,42627,52079,79522,45569,57036,39422
Trinidad and Tobago,15018,15402,14507,71724,47743,5042,26670,32271,23158,5573,43700,38255
Belarus,39360,31423,20711,56360,39743,43044,84314,38965,22668,61927,46520,38096
Area Nes,76874,165915,153411,32230,27341,38884,38072,47440,33086,116140,36037,34039
Lithuania,26466,27328,25520,31115,23872,29148,25611,30863,24383,26343,27495,33952
Malta,31312,29740,29043,30078,21111,29893,25930,25754,30417,32353,34389,32764
Madagascar,17549,14861,35960,15599,15182,16589,15350,14775,17947,17303,18373,32357
Mozambique,39821,56885,45467,63026,52501,51497,40448,57489,56523,78151,37949,31770
C?te d'Ivoire,9115,2550,11114,10284,11432,11611,17644,17790,13531,19622,27498,31693
Luxembourg,23224,24247,26823,26614,13479,33072,25235,29082,28285,22631,27223,30814
"Bolivia, Plurinational State of",34256,39065,27562,26978,26779,31485,29397,21231,27497,21029,32177,30337
Croatia,17728,17023,15230,18641,8291,21043,14353,26394,14517,17027,18218,30192
Sri Lanka,23518,28569,25778,26811,20730,32475,25539,29045,25674,28626,28824,28716
Ethiopia,25454,26303,25043,54964,46561,44510,28909,31520,18238,22723,26993,25772
Serbia,18568,13165,17422,16425,11885,23300,26771,22683,14528,18860,21152,24658
Estonia,25019,20522,26337,24500,15020,18836,21226,21787,21660,26138,24820,20730
Kenya,12610,21221,14588,14960,4455,18484,20855,9491,17256,10977,17967,19858
Zimbabwe,27820,36764,25644,33520,94267,171808,262395,132517,24541,38919,34411,19828
Greenland,9224,21308,15294,18918,6640,22512,18934,16795,10461,14749,22428,18646
"Korea, Democratic People's Republic of",85264,99733,50757,47079,9426,12378,11774,13648,10715,14485,16100,18202
Latvia,12789,19429,21651,25152,12263,17854,17703,20035,17984,15177,16934,16265
Tunisia,21109,14264,12846,19619,13296,16812,15090,15456,16721,15030,19074,15578
Iceland,13208,17331,11148,9999,6248,6852,8474,11664,18435,22689,13172,15032
Jordan,22388,30710,25807,26305,3453,23480,10225,25980,18618,12206,20962,14020
Dominican Republic,12252,18996,12523,13159,7466,15057,11062,13991,15192,10071,33677,13517
Guatemala,6223,7145,9641,10818,9384,11079,9167,7172,3982,4892,6143,11522
Suriname,1780,2161,2392,3772,2178,4313,3048,5778,3321,7934,3172,11000
Chad,26,16,60650,14,5,22,1,39,19304,545,658,10864
Bahrain,5561,2757,3536,2838,14748,14892,8816,5328,12269,14273,4758,9533
Eritrea,0,1985,11032,46854,0,35228,56390,12939,42030,12168,16756,9285
Mali,8792,2454,4323,6803,6124,12241,11836,7059,6818,6036,7397,8967
Brunei Darussalam,55263,5482,4818,336,4292,22376,5872,6691,13306,13608,13329,8800
Bosnia and Herzegovina,5540,5872,4993,7443,4287,7560,6356,6857,4837,5685,6589,8150
Tajikistan,2738,2853,5660,9429,3279,4832,4744,6007,4330,9495,6537,7872
Benin,8388,3543,4616,3410,4631,5319,2574,3378,3743,1088,5426,7485
Niger,3976,3854,11301,37229,29800,30875,21093,9376,7306,3293,6034,7079
Panama,4764,4846,4317,3166,2750,3498,4171,5628,6338,8012,10088,6986
El Salvador,21686,7616,6760,6692,5450,30572,44359,28573,7886,7850,8937,6528
Togo,10957,727,1233,3309,19050,32613,28662,25435,9364,5551,11491,6133
"Macao, China",6041,8561,6629,6266,3819,6192,5696,6078,4549,4909,5180,5734
Central African Republic,1864,3162,1243,927,7672,2776,4707,6012,4190,4661,6501,5725
Marshall Islands,10,13,1,140,13,6887,45,10425,8,3462,2306,5515
Rwanda,3305,4170,6129,3046,3096,5731,5171,1493,3934,1966,1471,5498
Paraguay,2875,2014,2337,1498,2151,4253,3581,3991,3934,4850,3899,5378
Guyana,2961,2991,3397,3991,3451,4766,3562,3245,3449,3491,5031,5281
Nicaragua,1612,2995,1691,1486,812,26176,26848,17516,6278,3385,6625,5018
Azerbaijan,1005,447,2553,891,2963,5838,5044,3276,4608,3724,3323,4595
Albania,17334,15589,10091,12138,7623,17538,12197,11613,6703,6595,6908,4542
Liberia,116,180,6686,212,5,6799,181,10758,108,31978,9530,4514
Senegal,2809,1940,1789,1518,2419,12829,14339,26549,21151,9126,5108,4500
Honduras,1326,2114,1918,3035,1860,3370,8679,9795,2558,3457,3863,3868
Kyrgyzstan,6730,5236,6867,9140,2812,7323,4863,2571,2498,4409,3488,3825
Bahamas,4301,1253,2,80,0,1,0,85,1,8,1854,3782
"Moldova, Republic of",2759,4895,5057,4708,3653,3952,1952,2859,2566,3636,3380,3656
"Macedonia, North",6111,4006,4647,1706,2534,2506,5974,3952,4417,2614,3379,3417
Mauritius,1419,2308,1819,5294,1995,4727,3565,1974,1419,2472,4468,3342
Georgia,2527,6818,7072,5042,3900,4160,3558,6424,6054,3538,3304,3245
Burkina Faso,1928,0,48,412,1291,31892,4075,8,27664,2662,660,3215
Somalia,842,1868,2058,496,1116,528,99,416,422,603,469,3047
"Micronesia, Federated States of",0,0,2742,3566,0,0,7970,0,314,2266,4782,2963
Cyprus,2055,3544,3350,4732,2760,4770,3930,5118,4565,4582,5241,2815
Jamaica,2118,5281,5813,6398,15236,6532,79,17313,5447,3162,6237,2533
Nepal,741,1864,1674,2488,975,1485,1855,2236,1866,2066,1700,2378
Uganda,2315,3055,1524,4082,3564,11672,5069,4024,3275,1567,2460,2368
Lebanon,1208,2822,2949,7578,1895,4067,3755,4963,6945,7380,3889,1877
Timor-Leste,190,117,294,110,191,6,104,148,22,268,20,1516
Sierra Leone,31194,44818,24894,25643,10466,21618,25123,41139,19020,3433,2702,1370
French Polynesia,326,695,251,774,94,571,324,771,464,971,418,1363
Guinea-Bissau,0,0,97,0,0,0,89,1851,3132,608,35,1206
Burundi,904,1,1624,978,231,280,2603,1585,1226,1298,354,1158
Fiji,2967,941,4429,537,623,2965,648,446,1118,701,1492,1017
Barbados,1936,2602,1168,1701,658,3281,1521,1341,1014,1884,1906,944
Gambia,15447,15572,8078,3686,2467,1472,785,701,371,303,558,915
Vanuatu,245,868,750,287,94,434,715,923,9859,1,207,564
Afghanistan,598,543,402,788,719,736,1813,865,861,717,1352,502
Haiti,299,756,863,1478,736,786,481,921,989,411,481,491
Malawi,31,217,534,237,4766,12885,3996,3456,291,204,399,446
Lesotho,744,1180,2146,5503,3168,6449,4140,3814,3155,1561,311,406
Montenegro,6634,8077,7045,6053,6317,361,5663,6796,1204,5441,1516,280
Cayman Islands,0,0,0,0,0,1,0,0,2,0,1,74
Cook Islands,3,677,0,123,65,526,30,949,420,32,249,62
Samoa,17,65,50,62,41,47,0,20,68,24,33,60
Oceania Nes,0,0,0,0,0,0,0,0,1,13,214,43
Eswatini,137,48,31,62,39,14828,61,64,89,11994,67,30
Antigua and Barbuda,0,0,0,0,0,1,0,2,0,8,4,28
Maldives,24,23,149,232,5828,165,24,313,15,23,13,27
Cabo Verde,0,0,0,0,3,0,0,0,28,0,33,24
Djibouti,1,4,0,20,0,29,0,8,0,0,1,20
Saint Kitts and Nevis,89,129,47,80,119,98,149,148,125,162,55,14
Cura?ao,0,0,1,0,0,0,5,0,119,4,0,10
Dominica,8,23,0,5,9,4,21,9,7,16,15,8
Syrian Arab Republic,13,45,63,131,59,54,298,87,126,7,62,8
Palau,0,0,0,0,0,0,0,0,33,0,6,7
Sao Tome and Principe,0,0,0,0,0,0,30,0,0,1,8,6
Tonga,118,49,29,0,0,46,0,0,0,0,0,6
Aruba,0,0,2,4,0,9,0,0,0,7,1,6
Botswana,4113,2891,861,2239,2,1956,0,4,509,2817,1122,4
Andorra,3,17,2,10,9,9,6,13,13,8,23,4
British Virgin Islands,0,0,0,0,0,0,0,0,0,10,4,3
Seychelles,2,2,1,0,0,1,4,1,0,0,10,3
Africa not elsewhere specified,0,0,1,0,0,0,24,0,0,0,0,2
Europe Othr. Nes,0,0,0,5,1,1,3,6,3,2,5,2
Nauru,1,9,1,14,8,14,5,37,37,1,0,1
Grenada,7,0,0,0,0,0,0,0,0,0,0,1
Belize,104,58,0,25,1,0,125,1,12,4,3,1
Bermuda,0,0,1,0,0,0,6,0,75,1,0,0
Bhutan,0,0,0,0,0,0,1,0,0,1,0,0
Comoros,0,4,0,0,0,2,0,1,0,3,13,0
"Palestine, State of",10,18,1,140,0,122,7,0,0,116,0,0
Gibraltar,0,0,0,0,0,1,0,0,0,0,0,0
Kiribati,0,110,1,100,0,0,0,0,0,0,2,0
Montserrat,0,1,2,0,0,0,0,0,1,0,0,0
Norfolk Island,0,0,0,0,0,0,0,0,1,0,0,0
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,1,0,0
"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0
America not elsewhere specified,0,0,0,0,0,0,0,0,0,0,10,0
Saint Lucia,2,3,26,1,1,7,1,3,9,6,14,0
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,10,0,0,43,21,53,35,50,27,0,0,0
Western Sahara,0,0,0,0,0,0,0,0,4,0,0,0
Wallis and Futuna Islands,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,0,5,0,2,0,0,0,0,0,0,7,0
