List of supplying markets for a product imported by United States of America ,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,
,,,,,,,,,,,,
Sources: ITC calculations based on US Census Bureau statistics.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,
,,,,,,,,,,,,
Exporters,Imported value in 2018-M09,Imported value in 2018-M10,Imported value in 2018-M11,Imported value in 2018-M12,Imported value in 2019-M01,Imported value in 2019-M02,Imported value in 2019-M03,Imported value in 2019-M04,Imported value in 2019-M05,Imported value in 2019-M06,Imported value in 2019-M07,Imported value in 2019-M08
World,217341049,242782229,219867707,212794009,210282670,190858805,213342219,214692110,226378852,212344310,224622673,221430357
China,52154647,54545867,48561781,48031955,43302345,34637929,32590610,36194013,40855947,40575299,43228793,42913856
Mexico,29235713,31918166,29725185,27182471,27824136,27767965,31392956,30510734,32202061,30452981,30206340,31135749
Canada,26883831,28684287,26284469,24593936,24012191,23522085,28230044,27357061,29832145,28221972,27407212,27220814
Japan,10554292,13118600,12889875,12564119,11813136,11697051,13381397,13279199,12284772,12181533,13168972,12709994
Germany,9925926,11299880,11015107,10520440,10433638,9560666,11599236,10984880,11151268,9792535,11557536,12234559
Viet Nam,4617667,5186159,4246832,3961234,5571019,5508672,5446429,4903552,5349767,4784318,5762514,7037706
"Korea, Republic of",6324942,7409151,6541789,6615626,7172457,6275928,7068145,6889849,6614228,6407904,6722150,7001551
United Kingdom,5065187,6158450,5428667,5394201,4383662,4971839,5932515,5933977,5406402,4924019,5733541,5260941
"Taipei, Chinese",3804680,4386806,4291398,4305688,4704238,4001837,4343902,4528671,4839275,4397995,4887766,4990225
India,4668755,5494814,4241581,4108580,5091211,4774449,5368519,5220541,5797234,4404437,5207562,4966661
Italy,3902576,5261850,4550803,5024792,4774133,4274748,4935689,5091686,5126918,4745163,5712184,4961212
Ireland,4582720,5337376,4854667,4591565,4922281,4064677,5417959,4867722,5772815,5067282,5256542,4787395
France,4023720,5100970,4727989,4522453,4239633,5062784,5026147,5737607,5253739,4793340,5028787,4416380
Malaysia,3337183,3289379,3360528,3482197,3072940,2772009,3488952,2949762,3425062,3169617,3373083,3985378
